省级行政区,城市,北纬,东经
辽宁省,沈阳市,41.677180,123.463100
辽宁省,大连市,38.913690,121.614760
辽宁省,鞍山市,41.107770,122.994600
辽宁省,抚顺市,41.879710,123.957220
辽宁省,本溪市,41.294130,123.766860
辽宁省,丹东市,39.999800,124.356010
辽宁省,锦州市,41.095150,121.127030
辽宁省,营口市,40.666830,122.234900
辽宁省,阜新市,42.021660,121.670110
辽宁省,辽阳市,41.268090,123.237360
辽宁省,盘锦市,41.119960,122.070780
辽宁省,铁岭市,42.286200,123.842410
辽宁省,朝阳市,41.573470,120.450800
辽宁省,葫芦岛市,40.711000,120.836990
吉林省,长春市,43.816020,125.323570
吉林省,吉林市,43.837840,126.549440
吉林省,四平市,43.166460,124.350360
吉林省,辽源市,42.888050,125.143680
吉林省,通化市,41.728290,125.939900
吉林省,白山市,41.940800,126.424430
吉林省,松原市,45.141100,124.825150
吉林省,白城市,45.619600,122.838710
吉林省,延边朝鲜族自治州,42.891190,129.509100
黑龙江省,哈尔滨市,45.802160,126.535800
黑龙江省,齐齐哈尔市,47.354310,123.917960
黑龙江省,鸡西市,45.295240,130.969540
黑龙江省,鹤岗市,47.349890,130.297850
黑龙江省,双鸭山市,46.646580,131.159100
黑龙江省,大庆市,46.595319,125.110961
黑龙江省,伊春市,47.727520,128.840490
黑龙江省,佳木斯市,46.799770,130.318820
黑龙江省,七台河市,45.770650,131.003060
黑龙江省,牡丹江市,44.552690,129.632440
黑龙江省,黑河市,50.245230,127.528520
黑龙江省,绥化市,46.652460,126.969320
黑龙江省,大兴安岭地区,51.923980,124.592160
江苏省,南京市,32.058380,118.796470
江苏省,无锡市,31.490990,120.312370
江苏省,徐州市,34.204400,117.285770
江苏省,常州市,31.810720,119.973650
江苏省,苏州市,31.298340,120.583190
江苏省,南通市,31.979580,120.893710
江苏省,连云港市,34.596690,119.222950
江苏省,淮安市,33.610160,119.015950
江苏省,盐城市,33.349510,120.161640
江苏省,扬州市,32.393580,119.412690
江苏省,镇江市,32.189590,119.425000
江苏省,泰州市,32.455460,119.925540
江苏省,宿迁市,33.961930,118.275490
浙江省,杭州市,30.274150,120.155150
浙江省,宁波市,29.873860,121.550270
浙江省,温州市,27.994920,120.699390
浙江省,嘉兴市,30.745010,120.755500
浙江省,湖州市,30.893050,120.088050
浙江省,绍兴市,30.030330,120.580200
浙江省,金华市,29.078120,119.647590
浙江省,衢州市,28.935920,118.874190
浙江省,舟山市,29.985390,122.207780
浙江省,台州市,28.656110,121.420560
浙江省,丽水市,28.467200,119.922930
安徽省,合肥市,31.820570,117.229010
安徽省,芜湖市,31.352460,118.433130
安徽省,蚌埠市,32.915480,117.389320
安徽省,淮南市,32.625490,116.999800
安徽省,马鞍山市,31.670670,118.506110
安徽省,淮北市,33.954790,116.798340
安徽省,铜陵市,30.944860,117.812320
安徽省,安庆市,30.542940,117.063540
安徽省,黄山市,29.715170,118.338660
安徽省,滁州市,32.301810,118.316830
安徽省,阜阳市,32.889630,115.814950
安徽省,宿州市,33.646140,116.963910
安徽省,六安市,31.734880,116.523240
安徽省,亳州市,33.844610,115.779310
安徽省,池州市,30.664690,117.491420
安徽省,宣城市,30.940780,118.758660
福建省,福州市,26.074210,119.296470
福建省,厦门市,24.479510,118.089480
福建省,莆田市,25.454000,119.007710
福建省,三明市,26.263850,117.639220
福建省,泉州市,24.873890,118.675870
福建省,漳州市,24.513470,117.647250
福建省,南平市,27.331750,118.120430
福建省,龙岩市,25.075040,117.017220
福建省,宁德市,26.665710,119.548190
江西省,南昌市,28.682020,115.857940
江西省,景德镇市,29.268690,117.178390
江西省,萍乡市,27.622890,113.854270
江西省,九江市,29.705480,116.001460
江西省,新余市,27.817760,114.917130
江西省,鹰潭市,28.260190,117.069190
江西省,赣州市,25.831090,114.934760
江西省,吉安市,27.113820,114.993760
江西省,宜春市,27.814430,114.416120
江西省,抚州市,27.947810,116.358090
江西省,上饶市,28.454630,117.943570
湖北省,武汉市,30.592760,114.305250
湖北省,黄石市,30.199530,115.038900
湖北省,十堰市,32.629180,110.798010
湖北省,宜昌市,30.691860,111.286420
湖北省,襄阳市,32.009000,112.122550
湖北省,鄂州市,30.390850,114.894950
湖北省,荆门市,31.035460,112.199450
湖北省,孝感市,30.924830,113.916450
湖北省,荆州市,30.334790,112.240690
湖北省,黄冈市,30.453470,114.872380
湖北省,咸宁市,29.841260,114.322450
湖北省,随州市,31.690130,113.382620
湖北省,恩施土家族苗族自治州,30.272170,109.488170
湖南省,长沙市,28.227780,112.938860
湖南省,株洲市,27.827670,113.133960
湖南省,湘潭市,27.829750,112.944110
湖南省,衡阳市,26.893240,112.571950
湖南省,邵阳市,27.238900,111.467700
湖南省,岳阳市,29.357280,113.129190
湖南省,常德市,29.031580,111.698540
湖南省,张家界市,29.116670,110.478390
湖南省,益阳市,28.553910,112.355160
湖南省,郴州市,25.770630,113.014850
湖南省,永州市,26.420340,111.612250
湖南省,怀化市,27.569740,110.001600
湖南省,娄底市,27.697280,111.994580
湖南省,湘西土家族苗族自治州,28.311730,109.738930
广东省,广州市,23.129080,113.264360
广东省,韶关市,24.810390,113.597230
广东省,深圳市,22.542860,114.059560
广东省,珠海市,22.270730,113.576680
广东省,汕头市,23.353500,116.682210
广东省,佛山市,23.021850,113.121920
广东省,江门市,22.578650,113.081610
广东省,湛江市,21.271340,110.358940
广东省,茂名市,21.663290,110.925230
广东省,肇庆市,23.046900,112.465280
广东省,惠州市,23.110750,114.416790
广东省,梅州市,24.288440,116.122640
广东省,汕尾市,22.785660,115.375140
广东省,河源市,23.743650,114.700650
广东省,阳江市,21.858290,111.982560
广东省,清远市,23.682010,113.056150
广东省,东莞市,23.020670,113.751790
广东省,中山市,22.515950,113.392600
广东省,潮州市,23.656700,116.622960
广东省,揭阳市,23.549720,116.372710
广东省,云浮市,22.915250,112.044530
海南省,海口市,20.044220,110.199890
海南省,三亚市,18.252480,109.512090
海南省,三沙市,16.832720,112.333560
海南省,儋州市,19.520930,109.580690
四川省,成都市,30.570200,104.064760
四川省,自贡市,29.339200,104.778440
四川省,攀枝花市,26.582280,101.718720
四川省,泸州市,28.871700,105.442570
四川省,德阳市,31.126790,104.397900
四川省,绵阳市,31.467510,104.679600
四川省,广元市,32.435490,105.843570
四川省,遂宁市,30.532860,105.592730
四川省,内江市,29.580150,105.058440
四川省,乐山市,29.552210,103.765390
四川省,南充市,30.837310,106.110730
四川省,眉山市,30.075630,103.848510
四川省,宜宾市,28.751300,104.641700
四川省,广安市,30.455960,106.633220
四川省,达州市,31.208640,107.467910
四川省,雅安市,30.010530,103.042400
四川省,巴中市,31.867150,106.747330
四川省,资阳市,30.128590,104.627980
四川省,阿坝藏族羌族自治州,31.899400,102.224770
四川省,甘孜藏族自治州,30.049320,101.962540
四川省,凉山彝族自治州,27.881640,102.267460
贵州省,贵阳市,26.647020,106.630240
贵州省,六盘水市,26.593360,104.830230
贵州省,遵义市,27.725450,106.927230
贵州省,安顺市,26.253670,105.946200
贵州省,毕节市,27.298470,105.305040
贵州省,铜仁市,27.690660,109.180990
贵州省,黔西南布依族苗族自治州,25.089880,104.904370
贵州省,黔东南苗族侗族自治州,26.583640,107.984160
贵州省,黔南布依族苗族自治州,26.254270,107.522260
云南省,昆明市,24.879660,102.833220
云南省,曲靖市,25.490020,103.796250
云南省,玉溪市,24.351800,102.547140
云南省,保山市,25.112050,99.161810
云南省,昭通市,27.338170,103.716800
云南省,丽江市,26.856480,100.227100
云南省,普洱市,22.825210,100.966240
云南省,临沧市,23.884260,100.088840
云南省,楚雄彝族自治州,25.044950,101.527670
云南省,红河哈尼族彝族自治州,23.364220,103.375600
云南省,文山壮族苗族自治州,23.398490,104.215040
云南省,西双版纳傣族自治州,22.007490,100.797390
云南省,大理白族自治州,25.606480,100.267640
云南省,德宏傣族景颇族自治州,24.432320,98.584860
云南省,怒江傈僳族自治州,25.817630,98.856700
云南省,迪庆藏族自治州,27.819080,99.703050
陕西省,西安市,34.341270,108.939840
陕西省,铜川市,34.896730,108.945150
陕西省,宝鸡市,34.361940,107.237320
陕西省,咸阳市,34.329320,108.709290
陕西省,渭南市,34.499970,109.510150
陕西省,延安市,36.585290,109.489780
陕西省,汉中市,33.067610,107.023770
陕西省,榆林市,38.285200,109.734580
陕西省,安康市,32.684860,109.029320
陕西省,商洛市,33.870360,109.940410
甘肃省,兰州市,36.061380,103.834170
甘肃省,嘉峪关市,39.772010,98.290110
甘肃省,金昌市,38.520060,102.187590
甘肃省,白银市,36.544700,104.137730
甘肃省,天水市,34.580850,105.724860
甘肃省,武威市,37.928200,102.637970
甘肃省,张掖市,38.925920,100.449810
甘肃省,平凉市,35.543030,106.665300
甘肃省,酒泉市,39.732550,98.493940
甘肃省,庆阳市,35.709780,107.642920
甘肃省,定西市,35.581130,104.625240
甘肃省,陇南市,33.401000,104.921660
甘肃省,临夏回族自治州,35.601220,103.210910
甘肃省,甘南藏族自治州,34.983270,102.911020
青海省,西宁市,36.617290,101.777820
青海省,海东市,36.482090,102.401730
青海省,海北藏族自治州,36.954540,100.900960
青海省,黄南藏族自治州,35.519910,102.015070
青海省,海南藏族自治州,36.286630,100.620370
青海省,果洛藏族自治州,34.471410,100.244750
青海省,玉树藏族自治州,33.005280,97.006500
青海省,海西蒙古族藏族自治州,37.377100,97.371220
广西壮族自治区,南宁市,22.816730,108.366900
广西壮族自治区,柳州市,24.325430,109.415520
广西壮族自治区,桂林市,25.273610,110.290020
广西壮族自治区,梧州市,23.476910,111.279170
广西壮族自治区,北海市,21.481120,109.120080
广西壮族自治区,防城港市,21.687130,108.354720
广西壮族自治区,钦州市,21.979700,108.654310
广西壮族自治区,贵港市,23.113060,109.597640
广西壮族自治区,玉林市,22.654510,110.180980
广西壮族自治区,百色市,23.902160,106.618380
广西壮族自治区,贺州市,24.403460,111.566550
广西壮族自治区,河池市,24.692910,108.085400
广西壮族自治区,来宾市,23.752100,109.222380
广西壮族自治区,崇左市,22.378950,107.364850
内蒙古自治区,呼和浩特市,40.841490,111.751990
内蒙古自治区,包头市,40.657810,109.840210
内蒙古自治区,乌海市,39.653840,106.795460
内蒙古自治区,赤峰市,42.258600,118.888940
内蒙古自治区,通辽市,43.652470,122.244690
内蒙古自治区,鄂尔多斯市,39.608450,109.780870
内蒙古自治区,呼伦贝尔市,49.211630,119.765840
内蒙古自治区,巴彦淖尔市,40.743170,107.387730
内蒙古自治区,乌兰察布市,40.993910,113.133760
内蒙古自治区,兴安盟,46.082080,122.038180
内蒙古自治区,锡林郭勒盟,43.933200,116.047750
内蒙古自治区,阿拉善盟,38.851530,105.728980
宁夏回族自治区,银川市,38.486440,106.232480
宁夏回族自治区,石嘴山市,38.984100,106.384180
宁夏回族自治区,吴忠市,37.997550,106.198790
宁夏回族自治区,固原市,36.015800,106.242590
宁夏回族自治区,中卫市,37.500260,105.196760
西藏自治区,拉萨市,29.644150,91.114500
西藏自治区,日喀则市,29.267050,88.881160
西藏自治区,昌都市,31.140730,97.172250
西藏自治区,林芝市,29.648950,94.361550
西藏自治区,山南市,29.237050,91.773130
西藏自治区,那曲市,31.476140,92.051360
西藏自治区,阿里地区,30.400510,81.145400
新疆维吾尔自治区,乌鲁木齐市,43.826630,87.616880
新疆维吾尔自治区,克拉玛依市,45.579990,84.889270
新疆维吾尔自治区,吐鲁番市,42.951300,89.189540
新疆维吾尔自治区,哈密市,42.818550,93.515380
新疆维吾尔自治区,昌吉回族自治州,44.011170,87.308220
新疆维吾尔自治区,博尔塔拉蒙古自治州,44.905970,82.066650
新疆维吾尔自治区,巴音郭楞蒙古自治州,41.764040,86.145170
新疆维吾尔自治区,阿克苏地区,41.168420,80.260080
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,39.715300,76.166610
新疆维吾尔自治区,喀什地区,39.470420,75.989760
新疆维吾尔自治区,和田地区,37.114310,79.922470
新疆维吾尔自治区,伊犁哈萨克自治州,43.916890,81.324160
新疆维吾尔自治区,塔城地区,46.745320,82.980460
新疆维吾尔自治区,阿勒泰地区,47.845640,88.140230
